Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Library,,,,,@lezer,rust,1.0.2,optional,MIT,,,,pkg:npm/%40lezer/rust@1.0.2,,,,,,,,,,,,,,,2f3e6c20f05d1761545dc59e0aed7ffe88c5019ab34d035181ad1a62fe9d617a89a8f7cc742008d0dcda8d651de178a38f520a24bb63a1744f32f4ca58172a2a,,,,,,,,,,
Library,,,,,@codemirror,lang-sass,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-sass@6.0.2,,,,,,,,,,,,,,,97f6ddcc8001be74e8d67cdd63a53e90f002e7573361070e12b7f343dcd29bd0fc1a634f0f45935bcb2dfc22700533cb3bc8e5adbcaf95211c376d1d73888bd1,,,,,,,,,,
Library,,,,,@lezer,sass,1.1.0,optional,MIT,,,,pkg:npm/%40lezer/sass@1.1.0,,,,,,,,,,,,,,,de63067424d467ff3802b1ceb97590af7ee99dfedff8dc3dc9c3d478a5fec2ed7d6fba5231c6462db697c2f0f600f3010ce1b13e6a4afcee92d6fd44bcba2a81,,,,,,,,,,
Library,,,,,@codemirror,lang-sql,6.10.0,optional,MIT,,,,pkg:npm/%40codemirror/lang-sql@6.10.0,,,,,,,,,,,,,,,e9ac8f90477fc91c345ca071e6e0224e84a01840a8fc66363682481d7208421d445702ee2a853c04ffea2b4a87e4d2d701bb4944bb93ef7871ecff57df888ee3,,,,,,,,,,
Library,,,,,@codemirror,lang-vue,0.1.3,optional,MIT,,,,pkg:npm/%40codemirror/lang-vue@0.1.3,,,,,,,,,,,,,,,41229db584c346110709fa39cce4a1cf10a6a8a26f806ad9c0341275bbc2449e6944b5814bba43ffc7bfb47e38695413e852a6d2de9154da125161ce239bcdba,,,,,,,,,,
Library,,,,,@codemirror,lang-wast,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-wast@6.0.2,,,,,,,,,,,,,,,2268b6293a551a6ed32ae524ab227935199e15617b68ca4d8b01e72d07b4c7d926af11259ddc87d0ae87fe05ed5b063a52c84c44086910db207e94b0b20982e9,,,,,,,,,,
Library,,,,,@codemirror,lang-xml,6.1.0,optional,MIT,,,,pkg:npm/%40codemirror/lang-xml@6.1.0,,,,,,,,,,,,,,,df3d1b96189c1cb7f08b65209196113e2a128154e8f4f57918fe5db9c147e85687cb420025183e8b18f98134758274ff8250080bcc6fe30d952f52e865fb3e26,,,,,,,,,,
Library,,,,,@lezer,xml,1.0.6,optional,MIT,,,,pkg:npm/%40lezer/xml@1.0.6,,,,,,,,,,,,,,,09d0f08ab2f4384692b45b9effae9998549ea69b8be83c23964f2a935e779924308921ff0e5ae2e063729ab3569d498f976526ed07d5d453bd2855325f74f0c3,,,,,,,,,,
Library,,,,,@codemirror,lang-yaml,6.1.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-yaml@6.1.2,,,,,,,,,,,,,,,771adf1bcc3909efd06d3ed8203ee659914a85d86c69334e6233a448832dd6a982e154275d20d26151c71e7f24ea42547c886d2e8f2dd4926096d97159db084f,,,,,,,,,,
Library,,,,,@lezer,yaml,1.0.3,optional,MIT,,,,pkg:npm/%40lezer/yaml@1.0.3,,,,,,,,,,,,,,,1ae04b7a46f0f630c10e11aeafcda7bb0931290f9add6e47d067da02d8435dc02ef977694b8dd5967c40f44f6196592948fe5e9654432a32cb8fb2eef56afac4,,,,,,,,,,
Library,,,,,@codemirror,legacy-modes,6.5.2,optional,MIT,,,,pkg:npm/%40codemirror/legacy-modes@6.5.2,,,,,,,,,,,,,,,fe325bc124dace54040ce430d8527c2c410a552ef6a54d25c7aa0ce78906a4bf2dfcd27625d6b7099e29725b6229376a612464dee835077a6297582c8c0ebef1,,,,,,,,,,
Library,,,,,@codemirror,theme-one-dark,6.1.3,required,MIT,,,,pkg:npm/%40codemirror/theme-one-dark@6.1.3,,,,,,,,,,,,,,,37305d22f1099b1e9f8deade9a21a9dedfe892b2cf613d1df68ac873b005ba7f2865c464e7c69e8e4aa1bfab299f3e0c2c07afaca34f310617116320e2cfac28,,,,,,,,,,
